valid set
+-------------+-------+--------+-------+-------------+----------+--------------+
|             |   pos |    neg |   amb |        pos% |     neg% |         amb% |
|-------------+-------+--------+-------+-------------+----------+--------------|
| ENCSR000ANS |  1046 | 229969 | 12174 | 0.00430118  | 0.945639 |   0.0500598  |
| ENCSR315NAC |  1221 | 229826 | 12142 | 0.00502079  | 0.945051 |   0.0499282  |
| ENCSR847XGE |  2460 | 225136 | 15593 | 0.0101156   | 0.925766 |   0.0641189  |
| ENCSR987GXT |  1813 | 227523 | 13853 | 0.00745511  | 0.935581 |   0.0569639  |
| ENCSR254YRM |   677 | 231704 | 10808 | 0.00278384  | 0.952773 |   0.0444428  |
| ENCSR785YRL |   596 | 223777 | 18816 | 0.00245077  | 0.920177 |   0.0773719  |
| ENCSR000DTL |  1245 | 231111 | 10833 | 0.00511947  | 0.950335 |   0.0445456  |
| ENCSR000DRP |   981 | 239444 |  2764 | 0.0040339   | 0.9846   |   0.0113656  |
| ENCSR000DPM |  1013 | 229296 | 12880 | 0.00416548  | 0.942872 |   0.0529629  |
| ENCSR000DMS |  1032 | 235100 |  7057 | 0.00424361  | 0.966738 |   0.0290186  |
| ENCSR000DUU |  1014 | 233813 |  8362 | 0.0041696   | 0.961446 |   0.0343848  |
| ENCSR303GFI |  1398 | 221897 | 19894 | 0.00574862  | 0.912447 |   0.0818047  |
| ENCSR000DXI |   851 | 238102 |  4236 | 0.00349934  | 0.979082 |   0.0174186  |
| ENCSR000DKV |   759 | 242430 |   nan | 0.00312103  | 0.996879 | nan          |
| ENCSR000DPP |   908 | 232918 |  9363 | 0.00373372  | 0.957765 |   0.0385009  |
| ENCSR000DMH |   367 | 240986 |  1836 | 0.00150911  | 0.990941 |   0.00754968 |
| ENCSR000DXD |  1385 | 228233 | 13571 | 0.00569516  | 0.938501 |   0.0558043  |
| ENCSR243INX |  1762 | 220655 | 20772 | 0.00724539  | 0.90734  |   0.085415   |
| ENCSR000EFI |   782 | 231666 | 10741 | 0.00321561  | 0.952617 |   0.0441673  |
| ENCSR560BUE |  1413 | 225465 | 16311 | 0.0058103   | 0.927118 |   0.0670713  |
| ENCSR460LGH |  3431 | 225123 | 14635 | 0.0141084   | 0.925712 |   0.0601795  |
| ENCSR000DRZ |   747 | 235338 |  7104 | 0.00307168  | 0.967716 |   0.0292118  |
| ENCSR000BQE |   395 | 233119 |  9675 | 0.00162425  | 0.958592 |   0.0397839  |
| ENCSR817HTJ |  2007 | 228004 | 13178 | 0.00825284  | 0.937559 |   0.0541883  |
| ENCSR000BIE |  1072 | 228286 | 13831 | 0.00440809  | 0.938718 |   0.0568735  |
| ENCSR072EUE |  1338 | 225534 | 16317 | 0.00550189  | 0.927402 |   0.067096   |
| ENCSR252QYR |  1038 | 228053 | 14098 | 0.00426829  | 0.93776  |   0.0579714  |
| ENCSR000DUS |  1066 | 231233 | 10890 | 0.00438342  | 0.950837 |   0.04478    |
| ENCSR265ARE |  2543 | 225061 | 15585 | 0.0104569   | 0.925457 |   0.064086   |
| ENCSR000AUE |  1561 | 223337 | 18291 | 0.00641888  | 0.918368 |   0.0752131  |
| ENCSR000DMF |   762 | 236748 |  5679 | 0.00313337  | 0.973514 |   0.0233522  |
| ENCSR261VAS |   898 | 228360 | 13931 | 0.0036926   | 0.939023 |   0.0572847  |
| ENCSR000DTA |  1239 | 230982 | 10968 | 0.0050948   | 0.949804 |   0.0451007  |
| ENCSR000DQY |    53 | 241617 |  1519 | 0.000217937 | 0.993536 |   0.00624617 |
| ENCSR000AOA |  1090 | 229530 | 12569 | 0.00448211  | 0.943834 |   0.0516841  |
| ENCSR000DTO |  1034 | 230457 | 11698 | 0.00425184  | 0.947646 |   0.0481025  |
| ENCSR000DRE |   691 | 240258 |  2240 | 0.00284141  | 0.987948 |   0.00921094 |
| ENCSR000DNI |   579 | 234472 |  8138 | 0.00238086  | 0.964155 |   0.0334637  |
| ENCSR634OAQ |  1352 | 225076 | 16761 | 0.00555946  | 0.925519 |   0.0689217  |
| ENCSR000DVH |   934 | 236300 |  5955 | 0.00384063  | 0.971672 |   0.0244871  |
| ENCSR000DSZ |  1044 | 226808 | 15337 | 0.00429296  | 0.932641 |   0.0630662  |
| ENCSR000DYD |   849 | 229336 | 13004 | 0.00349111  | 0.943036 |   0.0534728  |
| ENCSR857PBV |  2422 | 226560 | 14207 | 0.00995933  | 0.931621 |   0.0584196  |
| ENCSR000DNA |   771 | 232369 | 10049 | 0.00317037  | 0.955508 |   0.0413218  |
| ENCSR000DLS |   747 | 242442 |   nan | 0.00307168  | 0.996928 | nan          |
| ENCSR000DQI |   991 | 232418 |  9780 | 0.00407502  | 0.955709 |   0.0402156  |
| ENCSR619IUE |   976 | 233468 |  8745 | 0.00401334  | 0.960027 |   0.0359597  |
| ENCSR203QEB |  2800 | 213852 | 26537 | 0.0115137   | 0.879365 |   0.109121   |
| ENCSR000APF |  1178 | 231285 | 10726 | 0.00484397  | 0.95105  |   0.0441056  |
| ENCSR000DQW |   967 | 231924 | 10298 | 0.00397633  | 0.953678 |   0.0423457  |
| ENCSR000DQN |   849 | 232922 |  9418 | 0.00349111  | 0.957782 |   0.0387271  |
| ENCSR000BSE |   892 | 228215 | 14082 | 0.00366793  | 0.938426 |   0.0579056  |
| ENCSR000DTR |  1019 | 229996 | 12174 | 0.00419016  | 0.94575  |   0.0500598  |
| ENCSR000DWH |  1213 | 230990 | 10986 | 0.00498789  | 0.949837 |   0.0451747  |
| ENCSR000DWY |   729 | 242094 |   366 | 0.00299767  | 0.995497 |   0.001505   |
| ENCSR000DZN |   672 | 235582 |  6935 | 0.00276328  | 0.96872  |   0.0285169  |
| ENCSR000BNH |   945 | 233791 |  8453 | 0.00388587  | 0.961355 |   0.034759   |
| ENCSR000EGM |   959 | 233195 |  9035 | 0.00394343  | 0.958904 |   0.0371522  |
| ENCSR812FNU |  1732 | 225384 | 16073 | 0.00712203  | 0.926785 |   0.0660926  |
| ENCSR000DQD |  1166 | 231998 | 10025 | 0.00479462  | 0.953982 |   0.0412231  |
| ENCSR000DLG |   424 | 233614 |  9151 | 0.0017435   | 0.960627 |   0.0376292  |
