	pos	neg	amb	pos%	neg%	amb%
ENCSR000ANS	551172.0	4894723.0	1004542.0	0.08544723404011233	0.7588203713949923	0.15573239456489538
ENCSR315NAC	786923.0	4458125.0	1205389.0	0.12199530047344079	0.6911353447836169	0.18686935474294222
ENCSR847XGE	1463903.0	3763951.0	1222583.0	0.22694632937272313	0.5835187600467999	0.18953491058047695
ENCSR987GXT	927160.0	4275570.0	1247707.0	0.14373599804168308	0.6628341614684401	0.19342984048987688
ENCSR254YRM	368195.0	5438369.0	643873.0	0.05708062880080838	0.8431008627787544	0.09981850842043725
ENCSR785YRL	362631.0	5244798.0	843008.0	0.05621805158317181	0.8130918881930015	0.1306900602238267
ENCSR000DTL	633060.0	5028357.0	789020.0	0.09814218788587502	0.7795374173873801	0.12232039472674487
ENCSR000DRP	549475.0	5551765.0	349197.0	0.08518415108929829	0.8606804469216581	0.054135401989043534
ENCSR000DPM	530336.0	5117347.0	802754.0	0.08221706529340571	0.7933333819088536	0.12444955279774068
ENCSR000DMS	528068.0	5381491.0	540878.0	0.08186546120828712	0.834283165621182	0.08385137317053093
ENCSR000DUU	536072.0	5262395.0	651970.0	0.08310630737111299	0.8158199204177949	0.10107377221109205
ENCSR303GFI	843369.0	4592976.0	1014092.0	0.13074602542432395	0.7120410601638307	0.15721291441184526
ENCSR000DXI	462386.0	5363669.0	624382.0	0.07168289528290873	0.8315202520387378	0.09679685267835342
ENCSR000DKV	417580.0	6032857.0		0.06473669923448597	0.935263300765514	
ENCSR000DPP	490748.0	5348415.0	611274.0	0.07607980668596562	0.8291554510182798	0.09476474229575453
ENCSR000DMH	215622.0	5900590.0	334225.0	0.033427502663773014	0.914758178399386	0.051814318936841026
ENCSR000DXD	701950.0	4881415.0	867072.0	0.10882208445722359	0.7567572553611484	0.13442066018162802
ENCSR243INX	873583.0	4343370.0	1233484.0	0.13543004915790977	0.6733450772405032	0.191224873601587
ENCSR000EFI	423616.0	5366973.0	659848.0	0.0656724497890608	0.8320324653973057	0.10229508481363356
ENCSR560BUE	728982.0	4280723.0	1440732.0	0.11301280827950107	0.6636330220727681	0.22335416964773083
ENCSR460LGH	1732960.0	3827739.0	889738.0	0.26865776690788545	0.5934077024548879	0.1379345306372266
ENCSR000DRZ	413749.0	5423612.0	613076.0	0.06414278598488754	0.8408131108016402	0.0950441032134722
ENCSR000BQE	217627.0	5778095.0	454715.0	0.03373833431750438	0.8957679921530898	0.07049367352940583
ENCSR817HTJ	1047421.0	4458605.0	944411.0	0.16237985116357234	0.691209758346605	0.14641039048982263
ENCSR000BIE	488619.0	5340427.0	621391.0	0.07574975152846233	0.8279170853075536	0.09633316316398409
ENCSR072EUE	746585.0	4369201.0	1334651.0	0.11574177067383186	0.6773496121270544	0.2069086171991138
ENCSR252QYR	564876.0	4916822.0	968739.0	0.08757174126342138	0.7622463408293113	0.15018191790726737
ENCSR000DUS	554602.0	5039602.0	856233.0	0.08597898095896449	0.7812807101286317	0.13274030891240393
ENCSR265ARE	1405849.0	3897947.0	1146641.0	0.21794631898582995	0.6042919262679413	0.17776175474622882
ENCSR000AUE	795773.0	4223567.0	1431097.0	0.1233673005410331	0.6547722270599651	0.2218604723990018
ENCSR000DMF	443166.0	5471825.0	535446.0	0.06870325219826191	0.848287488119022	0.08300925968271607
ENCSR261VAS	506825.0	5099626.0	843986.0	0.07857219596129689	0.7905861261802882	0.13084167785841486
ENCSR000DTA	648118.0	4997239.0	805080.0	0.10047660336811289	0.7747132481101668	0.12481014852172032
ENCSR000DQY	28829.0	6093489.0	328119.0	0.004469309598714009	0.9446629739969555	0.05086771640433044
ENCSR000AOA	643406.0	4534132.0	1272899.0	0.09974611022478012	0.7029185774545198	0.19733531232070015
ENCSR000DTO	560268.0	5186519.0	703650.0	0.08685737105873602	0.8040569964484576	0.1090856324928063
ENCSR000DRE	386250.0	5721925.0	342262.0	0.059879663966952934	0.8870600550009248	0.05306028103212232
ENCSR000DNI	326982.0	5530944.0	592511.0	0.050691449277002476	0.8574526035987949	0.09185594712420259
ENCSR634OAQ	771283.0	4392601.0	1286553.0	0.1195706585460799	0.6809772733227222	0.19945206813119792
ENCSR000DVH	489655.0	5240265.0	720517.0	0.07591036080191156	0.812389145107533	0.11170049409055542
ENCSR000DSZ	555142.0	4804250.0	1091045.0	0.08606269621732605	0.744794499969537	0.169142803813137
ENCSR000DYD	443871.0	5347047.0	659519.0	0.06881254711890063	0.8289433723637639	0.1022440805173355
ENCSR857PBV	1468029.0	3800980.0	1181428.0	0.22758597595790797	0.5892593013465599	0.1831547226955321
ENCSR000DNA	386806.0	5305350.0	758281.0	0.05996585967741411	0.822479159163945	0.11755498115864088
ENCSR000DLS	340267.0	6110170.0		0.0527509996609532	0.9472490003390468	
ENCSR000DQI	520946.0	5161976.0	767515.0	0.08076134996745182	0.8002521379559245	0.11898651207662364
ENCSR619IUE	514467.0	5263937.0	672033.0	0.07975692189536926	0.816058973988894	0.10418410411573666
ENCSR203QEB	1355958.0	4037170.0	1057309.0	0.21021180425450245	0.6258754251843712	0.16391277056112633
ENCSR000APF	632143.0	4640557.0	1177737.0	0.09800002697491658	0.7194174596232782	0.18258251340180517
ENCSR000DQW	518790.0	5165857.0	765790.0	0.08042710904703046	0.8008538026183343	0.1187190883346353
ENCSR000DQN	441408.0	5413966.0	595063.0	0.06843071252381816	0.8393177082420927	0.0922515792340891
ENCSR000BSE	459139.0	5173998.0	817300.0	0.07117951853494577	0.8021158876522629	0.12670459381279128
ENCSR000DTR	545612.0	5094584.0	810241.0	0.08458527693550065	0.7898044737124011	0.12561024935209816
ENCSR000DWH	641949.0	5099187.0	709301.0	0.09952023405546012	0.7905180687758054	0.10996169716873445
ENCSR000DWY	409815.0	5897480.0	143142.0	0.06353290482489792	0.9142760405225259	0.02219105465257625
ENCSR000DZN	384029.0	5399325.0	667083.0	0.059535346209876945	0.8370479395427007	0.10341671424742231
ENCSR000BNH	497709.0	5261387.0	691341.0	0.07715895837754869	0.81566365193552	0.10717738968693129
ENCSR000EGM	520967.0	5286548.0	642922.0	0.08076460556083255	0.8195643178904003	0.09967107654876717
ENCSR812FNU	957267.0	4451624.0	1041546.0	0.14840343375185278	0.6901275060898975	0.16146906015824974
ENCSR000DQD	640058.0	4970883.0	839496.0	0.09922707562293842	0.7706273233890976	0.13014560098796407
ENCSR000DLG	242772.0	5683901.0	523764.0	0.03763651982028504	0.8811652605862208	0.08119821959349421
ENCSR822CEA	803759.0	4296113.0	1350565.0	0.12460535619524693	0.6660189069360727	0.20937573686868036
ENCSR000DNC	398994.0	5476506.0	574937.0	0.061855344064285875	0.8490131753864119	0.08913148054930232
ENCSR611JJS	833479.0	4394113.0	1222845.0	0.12921279597025753	0.6812116760461345	0.18957552798360794
ENCSR125DKL	1098026.0	4222192.0	1130219.0	0.17022505606984456	0.6545590632076556	0.17521588072249988
ENCSR000DXQ	442864.0	5400206.0	607367.0	0.06865643366488193	0.8371845194364351	0.09415904689868299
ENCSR000DUB	407966.0	5458145.0	584326.0	0.06324625757913765	0.8461667015738623	0.09058704084699998
ENCSR000DSU	477332.0	5275268.0	697837.0	0.0739999476004494	0.817815599160181	0.10818445323936968
ENCSR000DMO	491246.0	5350633.0	608558.0	0.07615701075756573	0.8294993036905872	0.0943436855518471
ENCSR756ZKG	760057.0	4579113.0	1111267.0	0.11783031134169669	0.7098919034477819	0.1722777852105214
ENCSR000DUX	476381.0	5088632.0	885424.0	0.07385251572877931	0.7888817455313493	0.1372657387398714
ENCSR000DTW	523085.0	5208015.0	719337.0	0.08109295540751735	0.8073894838442729	0.11151756074820977
ENCSR036EGV	1006688.0	4481253.0	962496.0	0.15606508520275447	0.6947208382935915	0.14921407650365393
ENCSR000DKR	277141.0	5514886.0	658410.0	0.04296468595848622	0.8549631598603319	0.10207215418118183
ENCSR000DKZ	271095.0	5681495.0	497847.0	0.04202738512134914	0.8807922626017431	0.07718035227690775
ENCSR000DVQ	548749.0	5137815.0	763873.0	0.08507160057527885	0.7965065002572694	0.11842189916745176
ENCSR000DUP	169690.0	5840708.0	440039.0	0.02630674479884076	0.9054747763601133	0.06821847884104597
ENCSR000DTI	604572.0	4835326.0	1010539.0	0.09372574292253377	0.7496121580599888	0.1566620990174774
ENCSR000DXW	517151.0	5276675.0	656611.0	0.08017301773507748	0.8180337239166897	0.10179325834823284
ENCSR000DLW	370872.0	6079565.0		0.057495639442723026	0.9425043605572769	
ENCSR000DMR	709357.0	5119852.0	621228.0	0.10997037875108306	0.7937217276906976	0.09630789355821939
ENCSR000DWE	458756.0	5778278.0	213403.0	0.07112014271281156	0.895796362323979	0.03308349496320947
ENCSR000DMA	461891.0	5988546.0		0.0716061562960773	0.9283938437039227	
ENCSR000DRU	407216.0	5414600.0	628621.0	0.06312998638696882	0.8394159961565395	0.09745401745649171
ENCSR000DVA	460092.0	5344389.0	645956.0	0.07132726046312832	0.8285313072587175	0.10014143227815418
ENCSR125NBL	877009.0	4408653.0	1164775.0	0.13596117596373702	0.6834657868916478	0.18057303714461517
ENCSR000BPJ	458219.0	5327978.0	664240.0	0.07103689253921866	0.8259871385458071	0.10297596891497429
ENCSR027HML	1220427.0	4164492.0	1065518.0	0.18920066966005558	0.645613932823466	0.16518539751647834
