	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
ENCSR000ANS	1046.0	229969.0	12174.0	0.004301181385671227	0.9456389886055702	0.05005983000875862	0	0.9903574001540336	0.6836877341160955	0.7122370936902486	0.5573613766730402	0.4340344168260038
ENCSR315NAC	1221.0	229826.0	12142.0	0.005020786302012015	0.9450509685882174	0.04992824510977059	1	0.9942378175454503	0.7920460952251399	0.8370188370188371	0.7362817362817363	0.6027846027846028
ENCSR847XGE	2460.0	225136.0	15593.0	0.010115589109704797	0.9257655568302843	0.06411885406001094	2	0.9847578354445776	0.7634600888433896	0.8052845528455285	0.6601626016260163	0.5199186991869919
ENCSR987GXT	1813.0	227523.0	13853.0	0.0074551069332905685	0.9355809678891727	0.05696392517753681	3	0.9859121750682478	0.7216031390077555	0.7683397683397684	0.6034197462768891	0.4578047435190292
ENCSR254YRM	677.0	231704.0	10808.0	0.0027838430192155075	0.9527733573475774	0.044442799633207096	4	0.9901813905746704	0.7078910133032476	0.7592319054652881	0.6233382570162481	0.4564254062038405
ENCSR785YRL	596.0	223777.0	18816.0	0.0024507687436520565	0.9201773106513864	0.07737192060496158	5	0.9700836032743887	0.5104720999571861	0.4983221476510067	0.35067114093959734	0.17114093959731544
ENCSR000DTL	1245.0	231111.0	10833.0	0.005119474976253037	0.9503349246882055	0.044545600335541495	6	0.9869499746110282	0.6661817554402143	0.6883534136546184	0.5429718875502008	0.41204819277108434
ENCSR000DRP	981.0	239444.0	2764.0	0.004033899559601791	0.9846004547903071	0.011365645650091082	7	0.9880934196501883	0.6902917087724586	0.7390417940876657	0.5626911314984709	0.41284403669724773
ENCSR000DPM	1013.0	229296.0	12880.0	0.004165484458589821	0.9428715936987282	0.05296292184268203	8	0.9839738224792856	0.6566914635894964	0.7058242843040474	0.5419545903257651	0.36525172754195456
ENCSR000DMS	1032.0	235100.0	7057.0	0.0042436129923639635	0.9667378047526821	0.029018582254953965	9	0.9931356028607322	0.7182523804330438	0.7732558139534884	0.622093023255814	0.4127906976744186
ENCSR000DUU	1014.0	233813.0	8362.0	0.004169596486683197	0.9614456245965073	0.03438477891680956	10	0.9919282774326531	0.7126412101106986	0.7534516765285996	0.596646942800789	0.4349112426035503
ENCSR303GFI	1398.0	221897.0	19894.0	0.0057486152745395555	0.9124466978358396	0.08180468688962084	11	0.9819216732701184	0.7488832347848179	0.7989985693848355	0.6759656652360515	0.4907010014306152
ENCSR000DXI	851.0	238102.0	4236.0	0.0034993359074629196	0.9790821130889966	0.017418551003540457	12	0.9925744702269963	0.7212169710657389	0.7790834312573442	0.6051703877790834	0.44535840188014103
ENCSR000DKV	759.0	242430.0		0.003121029322872334	0.9968789706771277		13	0.9962939467144177	0.741074266327683	0.7984189723320159	0.6337285902503293	0.40843214756258234
ENCSR000DPP	908.0	232918.0	9363.0	0.0037337215087853482	0.9577653594529357	0.03850091903827887	14	0.9874069164383842	0.7097003059716596	0.7698237885462555	0.6068281938325991	0.41519823788546256
ENCSR000DMH	367.0	240986.0	1836.0	0.0015091143102689678	0.9909412021102928	0.007549683579438215	15	0.9968735393653291	0.8205352846013588	0.9100817438692098	0.7901907356948229	0.49591280653950953
ENCSR000DXD	1385.0	228233.0	13571.0	0.005695158909325668	0.9385005078354696	0.0558043332552048	16	0.9866267610712156	0.6938033907083375	0.7306859205776173	0.5768953068592058	0.4043321299638989
ENCSR243INX	1762.0	220655.0	20772.0	0.007245393500528396	0.9073395589438668	0.0854150475556049	17	0.9778927618013555	0.7083489473479196	0.7383654937570943	0.6010215664018161	0.4642451759364359
ENCSR000EFI	782.0	231666.0	10741.0	0.0032156059690199804	0.9526171002800291	0.04416729375095091	18	0.992823022089103	0.7286699114251557	0.7723785166240409	0.6470588235294118	0.4411764705882353
ENCSR560BUE	1413.0	225465.0	16311.0	0.005810295695940194	0.927118414073005	0.06707129023105486	19	0.9877903068893916	0.7186190020588834	0.7650389242745931	0.613588110403397	0.4720452937013447
ENCSR460LGH	3431.0	225123.0	14635.0	0.01410836838837283	0.9257121004650704	0.060179531146556796	20	0.9720049033902725	0.7653083452535989	0.8146313028271641	0.6828912853395511	0.5278344505974935
ENCSR000DRZ	747.0	235338.0	7104.0	0.0030716849857518225	0.9677164674389055	0.029211847575342634	21	0.9960898445385049	0.7635535542112184	0.8393574297188755	0.6720214190093708	0.48326639892904955
ENCSR000BQE	395.0	233119.0	9675.0	0.001624251096883494	0.9585918770997044	0.03978387180341216	22	0.9896241616372276	0.8032120607206356	0.9113924050632911	0.7443037974683544	0.5417721518987342
ENCSR817HTJ	2007.0	228004.0	13178.0	0.0082528403834055	0.9375588534020864	0.054188306214508056	23	0.9798827590302591	0.6883924415274177	0.7130044843049327	0.5874439461883408	0.43996013951170904
ENCSR000BIE	1072.0	228286.0	13831.0	0.0044080941160990015	0.9387184453244185	0.056873460559482544	24	0.9902154252272712	0.750724062771604	0.8031716417910447	0.6613805970149254	0.49533582089552236
ENCSR072EUE	1338.0	225534.0	16317.0	0.005501893588937	0.9274021440114479	0.06709596239961511	25	0.988670030468661	0.7096979052407878	0.7608370702541106	0.6263079222720478	0.48056801195814647
ENCSR252QYR	1038.0	228053.0	14098.0	0.004268285160924219	0.9377603427786618	0.05797137206041392	26	0.9910441731562805	0.7361469683481984	0.7745664739884393	0.6069364161849711	0.5028901734104047
ENCSR000DUS	1066.0	231233.0	10890.0	0.004383421947538746	0.9508365921155973	0.04477998593686392	27	0.9898764628213954	0.6911346104755652	0.7213883677298312	0.5787992495309568	0.4596622889305816
ENCSR265ARE	2543.0	225061.0	15585.0	0.010456887441455	0.925457154723281	0.06408595783526393	28	0.9836967641138818	0.7489862428844554	0.7939441604404247	0.6441211167911916	0.4848604011010617
ENCSR000AUE	1561.0	223337.0	18291.0	0.006418875853759833	0.918368018290301	0.07521310585593921	29	0.9923670676710118	0.743625485318822	0.7809096732863549	0.6489429852658553	0.4983984625240231
ENCSR000DMF	762.0	236748.0	5679.0	0.003133365407152462	0.9735144270505656	0.023352207542281928	30	0.9914911630457972	0.7629787623220553	0.8175853018372703	0.6863517060367454	0.47506561679790027
ENCSR261VAS	898.0	228360.0	13931.0	0.0036926012278515885	0.9390227354033283	0.057284663368820134	31	0.9905647307556817	0.784287148663775	0.8452115812917594	0.7082405345211581	0.5712694877505567
ENCSR000DTA	1239.0	230982.0	10968.0	0.005094802807692782	0.9498044730641599	0.045100724128147245	32	0.9875207652034197	0.6823379053001877	0.7150928167877321	0.5633575464083939	0.4180790960451977
ENCSR000DQY	53.0	241617.0	1519.0	0.0002179374889489245	0.993535891837213	0.006246170673838044	33	0.9998594376051729	0.6373850112544232	0.8301886792452831	0.2830188679245283	0.07547169811320754
