	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
b'ENCSR000EGN'	934.0	232266.0	9989.0	0.0038406342392131223	0.9550843171360547	0.041075048624732206	0	0.9546652428763882	0.2611903689178169	0.1905781584582441	0.05460385438972163	0.019271948608137045
b'ENCSR000EIB'	762.0	228749.0	13678.0	0.003133365407152462	0.9406223143316516	0.056244320261196024	1	0.9792551536361147	0.47193669957739676	0.44750656167979	0.27034120734908135	0.1141732283464567
b'ENCSR000BRF'	501.0	230400.0	12288.0	0.002060126074781343	0.9474112727138152	0.05052860121140348	2	0.9675897597166777	0.19316537834102818	0.05588822355289421	0.029940119760479042	0.001996007984031936
b'ENCSR000EYV'	78.0	243111.0		0.00032073819128332283	0.9996792618087167		3	0.9490218090733904	0.04376398005975751	0.02564102564102564	0.01282051282051282	0.01282051282051282
b'ENCSR000BVO'	186.0	233230.0	9773.0	0.0007648372253679237	0.9590483122180691	0.040186850556563	4	0.8988046780163934	0.022566870648211276	0.005376344086021506	0.0	0.0
b'ENCSR837GTK'	1166.0	224202.0	17821.0	0.004794624756876339	0.9219249225910712	0.07328045265205252	5	0.9198309061313751	0.13904207447938335	0.0017152658662092624	0.0008576329331046312	0.0008576329331046312
b'ENCSR000EBZ'	270.0	228865.0	14054.0	0.001110247585211502	0.9410993095904832	0.05779044282430538	6	0.9723625524023138	0.2912563743382802	0.25555555555555554	0.07777777777777778	0.04814814814814815
b'ENCSR000EEI'	1253.0	226444.0	15492.0	0.005152371201000045	0.93114408957642	0.06370353922257997	7	0.9834506456553872	0.6404679317782054	0.6959297685554668	0.5227454110135674	0.28092577813248204
b'ENCSR196HGZ'	775.0	221661.0	20753.0	0.0031868217723663487	0.9114762592058029	0.08533691902183076	8	0.923462273326124	0.11441697756092839	0.005161290322580645	0.0012903225806451613	0.0012903225806451613
b'ENCSR000BSK'	1088.0	227512.0	14589.0	0.004473886565593016	0.9355357355801455	0.0599903778542615	9	0.9397377051734052	0.19669709400139684	0.06433823529411764	0.0009191176470588235	0.0009191176470588235
b'ENCSR000DYS'	182.0	230794.0	12213.0	0.0007483891129944199	0.9490314117826053	0.05022019910440028	10	0.9369751456200844	0.07122194288865	0.027472527472527472	0.02197802197802198	0.02197802197802198
b'ENCSR000EDH'	661.0	242528.0		0.0027180505697214923	0.9972819494302785		11	0.9783698259822557	0.24585667859400706	0.10892586989409984	0.01361573373676248	0.012102874432677761
b'ENCSR000BSA'	755.0	222461.0	19973.0	0.00310458121049883	0.9147658816805037	0.08212953710899752	12	0.940151262766171	0.1653382435614938	0.0	0.0	0.0
b'ENCSR000BGK'	723.0	227291.0	15175.0	0.0029729963115108	0.9346269773715093	0.0624000263169798	13	0.9587645070348793	0.22527352485298174	0.11341632088520055	0.02074688796680498	0.016597510373443983
b'ENCSR000BKP'	235.0	233306.0	9648.0	0.0009663266019433444	0.9593608263531657	0.03967284704489101	14	0.9747406155116164	0.24034326122679928	0.1574468085106383	0.03404255319148936	0.02553191489361702
