	pos	neg	amb	pos%	neg%	amb%
b'ENCSR000EGN'	934.0	232266.0	9989.0	0.0038406342392131223	0.9550843171360547	0.041075048624732206
b'ENCSR000EIB'	762.0	228749.0	13678.0	0.003133365407152462	0.9406223143316516	0.056244320261196024
b'ENCSR000BRF'	501.0	230400.0	12288.0	0.002060126074781343	0.9474112727138152	0.05052860121140348
b'ENCSR000EYV'	78.0	243111.0		0.00032073819128332283	0.9996792618087167	
b'ENCSR000BVO'	186.0	233230.0	9773.0	0.0007648372253679237	0.9590483122180691	0.040186850556563
b'ENCSR837GTK'	1166.0	224202.0	17821.0	0.004794624756876339	0.9219249225910712	0.07328045265205252
b'ENCSR000EBZ'	270.0	228865.0	14054.0	0.001110247585211502	0.9410993095904832	0.05779044282430538
b'ENCSR000EEI'	1253.0	226444.0	15492.0	0.005152371201000045	0.93114408957642	0.06370353922257997
b'ENCSR196HGZ'	775.0	221661.0	20753.0	0.0031868217723663487	0.9114762592058029	0.08533691902183076
b'ENCSR000BSK'	1088.0	227512.0	14589.0	0.004473886565593016	0.9355357355801455	0.0599903778542615
b'ENCSR000DYS'	182.0	230794.0	12213.0	0.0007483891129944199	0.9490314117826053	0.05022019910440028
b'ENCSR000EDH'	661.0	242528.0		0.0027180505697214923	0.9972819494302785	
b'ENCSR000BSA'	755.0	222461.0	19973.0	0.00310458121049883	0.9147658816805037	0.08212953710899752
b'ENCSR000BGK'	723.0	227291.0	15175.0	0.0029729963115108	0.9346269773715093	0.0624000263169798
b'ENCSR000BKP'	235.0	233306.0	9648.0	0.0009663266019433444	0.9593608263531657	0.03967284704489101
