	-1	0	1	-1	0	1
ENCSR000EGN	9989.0	232266.0	934.0	0.041075048624732206	0.9550843171360547	0.0038406342392131223
ENCSR000EIB	13678.0	228749.0	762.0	0.056244320261196024	0.9406223143316516	0.003133365407152462
ENCSR000BRF	12288.0	230400.0	501.0	0.05052860121140348	0.9474112727138152	0.002060126074781343
ENCSR000EYV		243111.0	78.0		0.9996792618087167	0.00032073819128332283
ENCSR000BVO	9773.0	233230.0	186.0	0.040186850556563	0.9590483122180691	0.0007648372253679237
ENCSR837GTK	17821.0	224202.0	1166.0	0.07328045265205252	0.9219249225910712	0.004794624756876339
ENCSR000EBZ	14054.0	228865.0	270.0	0.05779044282430538	0.9410993095904832	0.001110247585211502
ENCSR000EEI	15492.0	226444.0	1253.0	0.06370353922257997	0.93114408957642	0.005152371201000045
ENCSR196HGZ	20753.0	221661.0	775.0	0.08533691902183076	0.9114762592058029	0.0031868217723663487
ENCSR000BSK	14589.0	227512.0	1088.0	0.0599903778542615	0.9355357355801455	0.004473886565593016
ENCSR000DYS	12213.0	230794.0	182.0	0.05022019910440028	0.9490314117826053	0.0007483891129944199
ENCSR000EDH		242528.0	661.0		0.9972819494302785	0.0027180505697214923
ENCSR000BSA	19973.0	222461.0	755.0	0.08212953710899752	0.9147658816805037	0.00310458121049883
ENCSR000BGK	15175.0	227291.0	723.0	0.0624000263169798	0.9346269773715093	0.0029729963115108
ENCSR000BKP	9648.0	233306.0	235.0	0.03967284704489101	0.9593608263531657	0.0009663266019433444
