	pos	neg	amb	pos%	neg%	amb%
ENCSR000EGN	540442.0	3896505.0	548244.0	0.10840948721924597	0.7816159902398925	0.10997452254086153
ENCSR000EIB	436120.0	3764540.0	784531.0	0.08748310746769783	0.755144587238483	0.15737230529381924
ENCSR000BRF	316600.0	3990564.0	678027.0	0.063508098285502	0.8004836725413329	0.13600822917316507
ENCSR000EYV	32406.0	4952785.0		0.0065004530418192605	0.9934995469581808	
ENCSR000BVO	153537.0	4287568.0	544086.0	0.03079861935079318	0.8600609284579066	0.1091404521913002
ENCSR837GTK	780082.0	3545127.0	659982.0	0.1564798620554358	0.7111316296607292	0.13238850828383505
ENCSR000EBZ	189320.0	4088301.0	707570.0	0.03797647873471648	0.8200891400148961	0.1419343812503874
ENCSR000EEI	447762.0	3765890.0	771539.0	0.08981842420882169	0.7554153893000288	0.15476618649114948
ENCSR196HGZ	534513.0	3600750.0	849928.0	0.10722016468376036	0.7222892763787787	0.17049055893746098
ENCSR000BSK	534511.0	3928285.0	522395.0	0.10721976349552104	0.7879908713628023	0.10478936514167662
ENCSR000DYS	100330.0	4389867.0	494994.0	0.020125608025850967	0.8805815063053752	0.09929288566877377
ENCSR000EDH	471235.0	4513956.0		0.09452696997968583	0.9054730300203142	
ENCSR000BSA	430726.0	3936560.0	617905.0	0.08640110278623227	0.7896507877030188	0.12394810951074893
ENCSR000BGK	349458.0	3998709.0	637024.0	0.07009921986940922	0.8021175116459931	0.12778326848459767
ENCSR000BKP	158972.0	4323119.0	503100.0	0.03188884839116495	0.8671922500060679	0.10091890160276708
