	pos	neg	amb	pos%	neg%	amb%
ENCSR000EUP	148.0	238008.0	5033.0	0.0006085801578196383	0.9786955824482193	0.020695837393961077
ENCSR000EFV	752.0	231696.0	10741.0	0.003092245126218702	0.9527404611228304	0.04416729375095091
ENCSR000EEZ	145.0	243044.0		0.0005962440735395104	0.9994037559264605	
ENCSR000BLP	1217.0	231035.0	10937.0	0.005004338189638512	0.9500224105531089	0.044973251257252586
ENCSR521IID	1135.0	221709.0	20345.0	0.004667151885981685	0.9116736365542849	0.08365921155973338
ENCSR000EDS	411.0	221759.0	21019.0	0.0016900435463775088	0.9118792379589538	0.08643071849466875
ENCSR000EHS	630.0	242559.0		0.0025905776988268386	0.9974094223011731	
ENCSR847DIT	960.0	223530.0	18699.0	0.003947546969640897	0.9191616397123226	0.07689081331803659
ENCSR000ECN	642.0	242547.0		0.0026399220359473495	0.9973600779640527	
ENCSR000DZF	545.0	224338.0	18306.0	0.002241055310889884	0.9224841584117702	0.07527478627733984
