	pos	neg	amb	pos%	neg%	amb%
ENCSR663WAR	161.0	218974.0	24054.0	0.0006620365230335254	0.9004272397189017	0.09891072375806471
ENCSR000BJJ	48.0	241787.0	1354.0	0.00019737734848204483	0.9942349366130869	0.005567686038431015
ENCSR867WPH	1199.0	221896.0	20094.0	0.004930321683957745	0.9124425858077463	0.08262709250829602
ENCSR000BOZ	335.0	231246.0	11608.0	0.0013775294112809379	0.9508900484808113	0.04773242210790784
ENCSR137ZMQ	1185.0	227134.0	14870.0	0.004872753290650482	0.9339813889608494	0.061145857748500135
ENCSR000BHM	329.0	232012.0	10848.0	0.0013528572427206824	0.9540398620003372	0.04460728075694213
ENCSR893QWP	685.0	219327.0	23177.0	0.0028167392439625146	0.9018787856358634	0.09530447512017402
ENCSR000BMW	212.0	238270.0	4707.0	0.000871749955795698	0.9797729338086838	0.01935531623552052
ENCSR000BQS	130.0	231063.0	11996.0	0.0005345636521388714	0.9501375473397234	0.049327889008137706
ENCSR000BOX	379.0	230052.0	12758.0	0.001558458647389479	0.9459802869373204	0.05246125441529016
ENCSR000BJO	133.0	231920.0	11136.0	0.0005468997364189992	0.9536615554157466	0.0457915448478344
ENCSR000BQP	721.0	221704.0	20764.0	0.0029647722553240484	0.9116530764138181	0.08538215133085789
ENCSR000BOT	533.0	220821.0	21835.0	0.002191710973769373	0.9080221556073671	0.08978613341886352
ENCSR000BMN	212.0	233320.0	9657.0	0.000871749955795698	0.959418394746473	0.0397098552977314
ENCSR000BJL	96.0	228780.0	14313.0	0.00039475469696408967	0.9407497872025462	0.05885545810048974
ENCSR000BTF	391.0	225695.0	17103.0	0.0016078029845099902	0.9280641805344814	0.0703280164810086
ENCSR892DRK	339.0	211782.0	31068.0	0.0013939775236544417	0.870853533671342	0.1277524888050035
ENCSR000BGF	93.0	233428.0	9668.0	0.00038241861268396187	0.9598624937805575	0.03975508760675853
