	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR334KIQ	1587.0	4301516.0	560665.0	0.0003262902342381462	0.8843999138116785	0.11527379595408334	0	0.94593003326452	0.19761742152064252	0.010712035286704474	0.0	0.0	0.0
ENCSR000BHK	7517.0	4856251.0		0.001545509572002612	0.9984544904279974		1	0.9292292650630903	0.13684454384819678	0.09737927364640149	0.012105893308500731	0.004789144605560729	0.003591858454170547
ENCSR906PEI	409.0	4601255.0	262104.0	8.409118198071948e-05	0.9460268252926538	0.05388908352536552	2	0.9202950027514423	0.1355464630737054	0.02689486552567237	0.009779951100244499	0.009779951100244499	0.009779951100244499
ENCSR000BJX	19877.0	4460768.0	383123.0	0.004086749203498193	0.9171424294908803	0.07877082130562149	3	0.936223056751072	0.20168988015082728	0.12159782663379785	0.0147909644312522	0.0005030940282738844	0.0004024752226191075
ENCSR085IXF	43007.0	4512417.0	308344.0	0.00884232142651541	0.9277615626403233	0.06339611593316129	4	0.9153563345377199	0.21007401242232512	0.10537819424744808	0.0005115446322691655	0.0	0.0
ENCSR991ELG	6071.0	4493926.0	363771.0	0.0012482092073470609	0.9239597776867646	0.07479201310588827	5	0.9760522737242948	0.40678046340076746	0.45116125844177235	0.12057321693295997	0.0	0.0
ENCSR000BPE	30871.0	4383302.0	449595.0	0.0063471366232928875	0.9012152717810553	0.09243759159565176	6	0.9126621907875008	0.21327997924196423	0.15007612322244177	0.0	0.0	0.0
ENCSR386YIH	38826.0	4474153.0	350789.0	0.007982699832722285	0.9198944110821076	0.07212288908517019	7	0.919374380047919	0.21091471550351773	0.11275949106268995	0.0	0.0	0.0
ENCSR000BIR	7952.0	4572235.0	283581.0	0.0016349464036935972	0.9400602578083495	0.05830479578795699	8	0.9358409173974522	0.19112481276386756	0.1448692152917505	0.06602112676056338	0.0071680080482897385	0.0003772635814889336
ENCSR729LGA	687.0	4571898.0	291183.0	0.00014124851349817672	0.9399909699640279	0.059867781522473934	9	0.9855026011470598	0.06465327209084155	0.0	0.0	0.0	0.0
