	pos	neg	amb	pos%	neg%	amb%
ENCSR334KIQ	34698.0	5028566.0	520205.0	0.006214416163141588	0.9006168029230573	0.09316878091380108
ENCSR000BHK	305216.0	5278253.0		0.05466422397975166	0.9453357760202483	
ENCSR906PEI	22287.0	5207630.0	353552.0	0.003991604502505521	0.9326871878396746	0.0633212076578199
ENCSR000BJX	629878.0	4250561.0	703030.0	0.11281122900476388	0.7612760095918863	0.12591276140334978
ENCSR085IXF	1576716.0	3154647.0	852106.0	0.2823900338660428	0.5649976743848671	0.15261229174909002
ENCSR991ELG	364909.0	4445957.0	772603.0	0.06535524778591947	0.7962714577621905	0.13837329445189003
ENCSR000BPE	1064294.0	3711717.0	807458.0	0.19061518923092435	0.6647689814343019	0.14461582933477377
ENCSR386YIH	1429851.0	3204164.0	949454.0	0.2560864938983274	0.5738661753114417	0.17004733079023096
ENCSR000BIR	326257.0	4540184.0	717028.0	0.05843266972557742	0.8131475253108775	0.12841980496354508
ENCSR729LGA	53831.0	4966265.0	563373.0	0.0096411388690436	0.8894586859889434	0.10090017514201297
