	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000DTL	27170.0	5490940.0	233000.0	0.004724305394958539	0.9547617764222907	0.04051391818275081	0	0.9855951046078179	0.6437546036881343	0.6878542510121457	0.5104895104895105	0.30253956569746043	0.002576370997423629
ENCSR000DML	20330.0	5722538.0	8242.0	0.0035349697710528923	0.9950319155780363	0.0014331146509108676	1	0.991788899810216	0.5912446188709171	0.6092966060009838	0.41249385145105755	0.23590752582390556	0.09837678307919331
ENCSR402IDP	25126.0	5407327.0	318657.0	0.004368895743604278	0.9402231916969072	0.055407912559488515	2	0.9895347196484984	0.7070383119751292	0.7655018705723156	0.61701026824803	0.40460081190798375	0.06176868582344981
ENCSR000DQN	16243.0	5610656.0	124211.0	0.002824324347821551	0.9755779319122744	0.021597743739904123	3	0.9953448482844688	0.7121312450212918	0.7750415563627409	0.6141722588191837	0.358739149171951	0.015760635350612572
ENCSR196HOM	76664.0	5294333.0	380113.0	0.01333029623846527	0.9205758540525221	0.06609384970901269	4	0.9814837104892274	0.729172717188925	0.7775357403735782	0.6197432954189711	0.43487164770948555	0.28915788375247836
ENCSR619IUE	21477.0	5540036.0	189597.0	0.003734409531377421	0.9632985632338801	0.03296702723474251	5	0.996006388655789	0.7570757218274958	0.8310285421613819	0.6749546025981282	0.45262373702099923	0.05000698421567258
ENCSR000DKZ	11057.0	5557839.0	182214.0	0.0019225853791702819	0.9663941395661012	0.031683275054728566	6	0.9861934781056387	0.706088505936477	0.7838473365288957	0.6313647463145519	0.35922944740888124	0.012480781405444515
ENCSR822CEA	33854.0	5322719.0	394537.0	0.005886515820424231	0.9255115968917305	0.0686018872878453	7	0.9858550723718695	0.7289198535156368	0.799373781532463	0.6367637502215395	0.4311159685709222	0.11573226206652094
ENCSR000DVQ	22967.0	5486617.0	241526.0	0.003993489952374411	0.954010095442445	0.04199641460518057	8	0.9886802881409976	0.6712787695697496	0.7217311795184395	0.5442156137066225	0.33308660251665434	0.06300343971785606
ENCSR000DYD	19190.0	5469877.0	262043.0	0.003336747167068618	0.9510993529944655	0.04556389983846597	9	0.9873809944572159	0.7115384744600168	0.7747785304846274	0.6081813444502345	0.3965607087024492	0.06883793642522147
ENCSR756ZKG	31364.0	5424495.0	295251.0	0.005453555922248053	0.9432083545611195	0.05133808951663244	10	0.9901080485399699	0.7088485120421235	0.7627215916337202	0.6181290651702589	0.4060068868766739	0.03953577349827828
ENCSR000DXD	30068.0	5435686.0	285356.0	0.005228208119823825	0.9451542397902318	0.049617552089944374	11	0.9863891412026231	0.679401768973471	0.7274843687641346	0.5626912332047359	0.3632765731009711	0.053212717839563654
ENCSR000DPV	20434.0	5496552.0	234124.0	0.003553053236679528	0.9557375880482203	0.040709358715100216	12	0.9828610449373862	0.6285260417618623	0.6672702358813741	0.5026426543995302	0.31423118332191446	0.017177253596946267
ENCSR000EIC	20319.0	5518013.0	212778.0	0.0035330570968039213	0.9594692155079628	0.03699772739523327	13	0.9931433621072664	0.7100355955041452	0.7697229194350116	0.5977164230523155	0.3949505389044736	0.06860573847138146
ENCSR932ZMX	29998.0	5576302.0	144810.0	0.005216036556421282	0.9696044763532605	0.025179487090318215	14	0.9938571046350584	0.7229034398734328	0.7944196279751984	0.6142409493966264	0.3966931128741916	0.005167011134075605
ENCSR785YRL	14690.0	5330589.0	405831.0	0.002554289519762272	0.9268800283771307	0.07056568210310706	15	0.9660642796501826	0.47021066589696237	0.45371000680735196	0.27018379850238256	0.07556160653505786	0.0002042205582028591
ENCSR066BZZ	53678.0	5381753.0	315679.0	0.009333502576024454	0.9357763979475267	0.05489009947644889	16	0.9886219797102501	0.7492513432337822	0.8117664592570513	0.6580722083535154	0.4582883117850889	0.23827266291590596
ENCSR611JJS	34646.0	5412463.0	304001.0	0.006024228366350148	0.9411162366916995	0.05285953494195034	17	0.98821286968628	0.7113070761739219	0.7711135484615829	0.616694567915488	0.4067136177336489	0.04355481152225365
ENCSR000DUX	19596.0	5473226.0	258288.0	0.0034073422348033684	0.9516816753635385	0.04491098240165811	18	0.9933323821614345	0.7119538237396619	0.776740151051235	0.614206981016534	0.38135333741579913	0.015105123494590733
ENCSR000DNI	13073.0	5569823.0	168214.0	0.002273126405163525	0.9684779112206165	0.029248962374219933	19	0.9939584265290062	0.7108147900290069	0.7601927637114664	0.6130191998776103	0.4137535378260537	0.1324868048649889
ENCSR000DWE	17789.0	5722319.0	11002.0	0.0030931420195405754	0.994993835972534	0.0019130220079254265	20	0.9961664004794399	0.6949017550536739	0.7695204901905672	0.5503400978132554	0.301590870762831	0.012929338355163304
ENCSR000DXI	18974.0	5638329.0	93807.0	0.0032991891999979133	0.980389698684254	0.01631111211574809	21	0.9946851463464048	0.7089503882792823	0.7704753873721936	0.6001370296194792	0.3825761568462106	0.0737324760198166
