	pos	neg	amb	pos%	neg%	amb%
ENCSR000EGN	584670.0	3979098.0	583904.0	0.1135794976836131	0.7729898097625489	0.11343069255383793
ENCSR000EIB	453432.0	3874137.0	820103.0	0.0880848663240393	0.7525998159944922	0.15931531768146845
ENCSR837GTK	819896.0	3634318.0	693458.0	0.15927510532916628	0.7060119603580026	0.13471293431283113
ENCSR000EBZ	198060.0	4207331.0	742281.0	0.03847564491288489	0.8173269392455463	0.14419741584156878
ENCSR000BGK	379600.0	4086546.0	681526.0	0.07374207214445676	0.7938629345459463	0.13239499330959703
ENCSR000BSA	455902.0	4035685.0	656085.0	0.08856469487566418	0.7839825458964751	0.12745275922786067
ENCSR000BRF	326012.0	4112503.0	709157.0	0.06333192946248324	0.7989054081145808	0.13776266242293603
ENCSR196HGZ	565152.0	3688400.0	894120.0	0.10978788081291893	0.7165180687503011	0.17369405043677996
ENCSR000BVO	154489.0	4445746.0	547437.0	0.030011430409707534	0.8636420502316386	0.10634651935865377
ENCSR000BSK	557868.0	4048443.0	541361.0	0.10837287224205427	0.7864609477837748	0.10516617997417085
ENCSR000DYS	105455.0	4523460.0	518757.0	0.020485959478381683	0.8787389717138155	0.10077506880780283
ENCSR000EDH	490005.0	4657667.0		0.0951896313518033	0.9048103686481968	
ENCSR000EYV	34351.0	5113321.0		0.0066731135938731135	0.9933268864061269	
ENCSR000BKP	169101.0	4449686.0	528885.0	0.032849995104583196	0.8644074447633804	0.10274256013203638
ENCSR000EEI	485431.0	3840099.0	822142.0	0.09430107434972547	0.7459875065855012	0.15971141906477335
