	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000EUP	2669.0	5638456.0	109985.0	0.0004640843245912528	0.9804117813778558	0.019124134297552994	0	0.96166922571954	0.16559139758850175	0.12139378044211314	0.02959910078681154	0.0	0.0
ENCSR000ECN	20110.0	5731000.0		0.003496716286073471	0.9965032837139265		1	0.954076474769157	0.20761980695024587	0.09448035803083044	0.0	0.0	0.0
ENCSR521IID	26097.0	5309642.0	415371.0	0.004537732715945269	0.9232377749686582	0.0722244923153965	2	0.9212376037804856	0.11162193556478398	0.0	0.0	0.0	0.0
ENCSR000EDS	6498.0	5474321.0	270291.0	0.0011298688427103637	0.9518720733910497	0.04699805776623991	3	0.9868409013715006	0.3105624443104836	0.26946752847029853	0.036011080332409975	0.0007694675284702986	0.0007694675284702986
ENCSR000BLP	30040.0	5476182.0	244888.0	0.005223339494462808	0.9521956630980802	0.042580997407456994	4	0.9612931238281384	0.31307964745306127	0.256491344873502	0.0	0.0	0.0
ENCSR000DZF	11178.0	5365321.0	374611.0	0.0019436247959089637	0.9329192103785182	0.0651371648255728	5	0.9595629200885554	0.2618061416684244	0.2278582930756844	0.0005367686527106817	0.00044730721059223476	0.00044730721059223476
ENCSR000EFV	17767.0	5513502.0	219841.0	0.0030893166710426337	0.9586848451864075	0.03822583814254987	6	0.9627873472886314	0.250274170539349	0.18326110204311363	0.0	0.0	0.0
ENCSR000EEZ	3673.0	5747437.0		0.0006386593196791576	0.9993613406803209		7	0.9899666452970417	0.22695547888556328	0.15491423904165533	0.018785733732643615	0.005445140212360468	0.0005445140212360468
ENCSR847DIT	22202.0	5331254.0	397654.0	0.0038604721523323323	0.9269956582294548	0.06914386961821284	8	0.9539574192914574	0.2069447231885118	0.10242320511665616	0.0	0.0	0.0
ENCSR000EHS	14267.0	5736843.0		0.0024807385009154755	0.9975192614990845		9	0.9634398194484671	0.14916414048566196	0.04675124412981005	0.0	0.0	0.0
