	pos	neg	amb	pos%	neg%	amb%
ENCSR000EUP	107676.0	4593745.0	526831.0	0.020595028701753473	0.8786387878778605	0.10076618342038601
ENCSR000ECN	669136.0	4559116.0		0.12798464955400007	0.8720153504459999	
ENCSR521IID	886268.0	3773044.0	568940.0	0.16951516491553964	0.7216645257344138	0.10882030935004663
ENCSR000EDS	317642.0	3963567.0	947043.0	0.0607549138794381	0.7581055771603971	0.1811395089601649
ENCSR000BLP	1137600.0	3403832.0	686820.0	0.21758706351568363	0.6510458944978169	0.1313670419864995
ENCSR000DZF	475576.0	3914964.0	837712.0	0.09096271564568809	0.7488093534894645	0.16022793086484738
ENCSR000EFV	741375.0	3610522.0	876355.0	0.14180169586316804	0.6905791840179089	0.1676191201189231
ENCSR000EEZ	155790.0	5072462.0		0.029797722068484838	0.9702022779315151	
ENCSR847DIT	848816.0	3355940.0	1023496.0	0.16235177646372057	0.6418856627415817	0.19576256079469773
ENCSR000EHS	540274.0	4687978.0		0.10333740607759534	0.8966625939224047	
