	pos	neg	amb	pos%	neg%	amb%
ENCSR000BJO	152186.0	4147544.0	785008.0	0.029929959026404114	0.8156848986122786	0.15438514236131734
ENCSR000BOX	350388.0	3852000.0	882350.0	0.068909745202211	0.7575611565433656	0.17352909825442334
ENCSR000BOT	328813.0	3926522.0	829403.0	0.0646666553910939	0.7722171722515496	0.16311617235735645
ENCSR000BJL	82636.0	4548880.0	453222.0	0.016251771477704458	0.8946144324447002	0.08913379607759535
ENCSR000BJJ	42851.0	4751697.0	290190.0	0.008427376199127664	0.934501836672804	0.057070787128068345
ENCSR000BMN	182731.0	4190748.0	711259.0	0.035937151530718005	0.824181698250726	0.139881150218556
ENCSR000BGF	105843.0	4420586.0	558309.0	0.02081582177882125	0.8693832405917473	0.10980093762943145
ENCSR137ZMQ	858469.0	3602271.0	623998.0	0.16883249441760814	0.7084477115635063	0.12271979401888554
ENCSR000BQP	542439.0	3480913.0	1061386.0	0.10667983286454484	0.684580601793052	0.2087395653424031
ENCSR000BMW	210862.0	4234688.0	639188.0	0.04146958997690736	0.8328232447768203	0.12570716524627226
ENCSR000BHM	245934.0	4212708.0	626096.0	0.04836709384042993	0.8285005048441041	0.123132401315466
ENCSR000BOZ	254701.0	4014646.0	815391.0	0.05009127313934366	0.7895482520436647	0.16036047481699156
ENCSR663WAR	172260.0	4306674.0	605804.0	0.03387785172018696	0.8469805130569166	0.11914163522289645
ENCSR867WPH	1000505.0	3345456.0	738777.0	0.19676628372985983	0.6579406844561116	0.14529303181402856
ENCSR000BTF	341861.0	3987363.0	755514.0	0.06723276597535606	0.7841825871854164	0.1485846468392275
ENCSR892DRK	292777.0	3973676.0	818285.0	0.05757956457146858	0.7814908064092978	0.16092962901923363
ENCSR000BQS	126562.0	4192788.0	765388.0	0.024890564666262056	0.8245828988632256	0.15052653647051234
ENCSR893QWP	594299.0	3422326.0	1068113.0	0.11687898176857883	0.6730584742026039	0.21006254402881722
