,K562,GM12878,HepG2,MCF-7,HeLa-S3,A549,H1-hESC,liver,SK-N-SH,HEK293T,IMR-90,K562-eGFP,HEK293-eGFP,T47D,HCT116,endothelial_cell_of_umbilical_vein,Ishikawa,MCF_10A,neural_cell,GM23338,GM12891,MCF-7-eGFP,fibroblast_of_lung,HL-60,HEK293,PFSK-1,MM.1S,bipolar_neuron,22Rv1,neural_progenitor_cell,foreskin_keratinocyte,PC-9,GM12892,Panc1,LNCAP,foreskin_fibroblast,C4-2B,OCI-LY1,NT2_D1,SH-SY5Y,hepatocyte,A673,B_cell,OCI-LY3,SU-DHL-6,erythroblast,fibroblast_of_dermis,OCI-LY7,NB4,GM23248,mammary_epithelial_cell,PC-3,DOHH2,smooth_muscle_cell,astrocyte_of_the_cerebellum,GM10266,Caco-2,fibroblast_of_mammary_gland,AG04449,kidney_epithelial_cell,GM20000,fibroblast_of_pulmonary_artery,choroid_plexus_epithelial_cell,GM12875,GM12874,GM12873,AG04450,keratinocyte,spleen,GM18951,BE2C,GM12864,GM06990,astrocyte_of_the_spinal_cord,WI38,GM19193,skeletal_muscle_myoblast,RWPE2,Loucy,RWPE1,WERI-Rb-1,brain_microvascular_endothelial_cell,SK-N-MC,AG09319,osteoblast,epithelial_cell_of_esophagus,NCI-H929,H54,KMS-11,epithelial_cell_of_prostate,AG09309,BJ,GM12801,VCaP,bronchial_epithelial_cell,fibroblast_of_the_aortic_adventitia,epithelial_cell_of_proximal_tubule,GM08714,GM13976,GM13977,lung,retinal_pigment_epithelial_cell,CD14-positive_monocyte,myotube,astrocyte,medulloblastoma,GM10248,cardiac_muscle_cell,pancreas,neutrophil,AG10803,fibroblast_of_villous_mesenchyme,HFF-Myc,LNCaP_clone_FGC,GM12865,row_sum
CTCF,5,4,2,8,2,4,1,1,4,0,1,0,0,1,3,1,1,0,1,2,0,0,3,1,1,0,1,2,2,1,3,1,0,1,2,2,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,129
MYC,6,1,0,4,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
REST,2,2,2,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
EZH2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
JUND,1,2,2,0,1,1,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
RAD21,1,2,2,0,1,1,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
EZH2phosphoT487,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
YY1,3,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
JUN,6,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
TAF1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
