	pos	neg	amb	pos%	neg%	amb%
ENCSR000EYV	13792.0	3118857.0		0.004402663688143804	0.9955973363118562	
ENCSR000DYS	35341.0	2947001.0	150307.0	0.011281506482213615	0.9407376951583148	0.047980798359471485
ENCSR000EYV	26343.0	2646333.0		0.009856413572015462	0.9901435864279845	
ENCSR000DYS	63436.0	2480367.0	128873.0	0.023735013147871274	0.9280462727244155	0.0482187141277132
Merged	661851.0	2478517.0	122496.0	0.2028435754600866	0.7596139465206028	0.03754247801931064
ENCSR000EAG	137157.0	3089177.0		0.04251171763369818	0.9574882823663018	
ENCSR000EAG	254053.0	2597911.0		0.08908001643779515	0.9109199835622048	
ENCSR000EAG	2429250.0	2597911.0		0.4832250250190913	0.5167749749809087	
ENCSR000BGQ	108101.0	3084716.0		0.03385756214653079	0.9661424378534692	
ENCSR000BGQ	199603.0	2594249.0		0.0714436555694432	0.9285563444305568	
ENCSR000BGQ	1827095.0	2594249.0		0.4132442533311138	0.5867557466688862	
ENCSR332EYT	79845.0	2901277.0	190679.0	0.02517339517832298	0.9147096554922581	0.060116949329418835
ENCSR332EYT	148482.0	2443170.0	156948.0	0.05402095612311723	0.888877974241432	0.05710106963545077
ENCSR332EYT	1422619.0	2443170.0	156948.0	0.35364454598945944	0.6073402263185488	0.0390152276919918
