	pos	neg	amb	pos%	neg%	amb%
ENCSR038RXU	142920.0	3654832.0	500331.0	0.03325203352285193	0.8503400236803245	0.11640794279682361
ENCSR000BHS	132057.0	3690751.0	475275.0	0.03072462770030267	0.8586970051532277	0.11057836714646972
ENCSR000BIW	167221.0	3508557.0	622305.0	0.038905949466308584	0.8163074096056312	0.14478664092806026
ENCSR038GMB	588395.0	3170267.0	539421.0	0.13689707713880817	0.7376002278224967	0.12550269503869516
ENCSR000BJK	165300.0	3758485.0	374298.0	0.03845900602664025	0.874456123811476	0.08708487016188379
ENCSR290MUH	1097103.0	2765159.0	435821.0	0.2552540283656691	0.6433470456480249	0.10139892598630598
ENCSR000BTK	203155.0	3573854.0	521074.0	0.04726642086716334	0.8314995313026761	0.12123404783016056
ENCSR000BLO	299989.0	3514079.0	484015.0	0.06979599975151712	0.8175921684155472	0.11261183183293576
ENCSR350ORK	160264.0	3535054.0	602765.0	0.03728732088235616	0.8224722510012021	0.1402404281164417
ENCSR331HPA	169509.0	3772162.0	356412.0	0.039438279809859415	0.8776382401177455	0.08292348007239507
