id,       loss ,   kernel_size1 ,n_dense,   Dense ,    Dropout ,   n_conv ,         lr ,   filters ,   time ,   filters_1 ,pool_size,trial,gpu
31,0.4124964,25,3,100,0.4,0,0.0001,50,1906,50,60,31,gpu1
30,0.41259948,25,3,100,0.4,0,0.0001,50,1909,50,60,30,gpu1
34,0.41284948,25,3,100,0.4,0,0.0001,50,2034,50,60,34,gpu1
23,0.41426898,25,2,100,0.4,0,0.0001,50,1797,100,60,23,gpu1
21,0.41610911,25,2,100,0.4,0,0.0001,50,1785,100,60,21,gpu1
24,0.41787785,25,2,100,0.4,0,0.0001,50,1759,100,60,24,gpu1
29,0.42267183,13,2,100,0.4,0,0.0001,100,2197,1000,60,29,gpu1
80,0.42764171,13,0,100,0.4,0,0.0001,250,3363,50,30,33,gpu2
22,0.4286442,25,0,100,0.4,0,0.0001,50,1431,100,60,22,gpu1
4,0.42930689,19,0,100,0.6,0,0.0001,50,1169,100,60,4,gpu1
69,0.42997278,13,0,200,0.4,0,0.0001,100,1893,100,30,22,gpu2
95,0.43192661,13,3,50,0.4,0,0.001,100,2275,1000,60,48,gpu2
75,0.43217674,13,0,100,0.4,0,0.0001,500,5941,500,30,28,gpu2
78,0.43269117,13,0,100,0.4,0,0.0001,500,6035,500,30,31,gpu2
18,0.43470386,25,2,100,0.4,0,0.001,50,1716,250,30,18,gpu1
40,0.43619362,25,3,100,0.6,0,0.001,100,2447,500,60,40,gpu1
57,0.44016552,39,0,200,0.2,0,0.001,100,1879,100,30,10,gpu2
73,0.44054564,25,0,200,0.4,0,0.0001,100,1664,500,30,26,gpu2
25,0.44264716,25,2,100,0.4,0,0.0001,100,2193,100,60,25,gpu1
84,0.44591414,25,0,200,0.6,0,0.0001,250,3370,50,30,37,gpu2
52,0.44643104,13,0,200,0.2,0,0.0001,100,1625,100,10,5,gpu2
74,0.45142986,39,0,200,0.4,0,0.001,100,1716,50,30,27,gpu2
67,0.45581202,39,0,200,0.2,0,0.0001,100,2004,100,30,20,gpu2
70,0.45809412,39,0,200,0.4,0,0.0001,100,1974,100,30,23,gpu2
72,0.45982022,13,2,100,0.4,0,0.001,100,2074,100,30,25,gpu2
61,0.46412368,15,3,200,0.2,0,0.0001,50,1583,100,30,14,gpu2
99,0.46962119,15,2,200,0.2,0,0.0001,50,1532,500,30,3,gpu1a
20,0.47209631,25,2,100,0.4,0,0.0001,50,1728,250,10,20,gpu1
68,0.47335053,39,0,200,0.2,0,0.0001,100,1906,100,10,21,gpu2
19,0.47526714,25,2,100,0.4,0,0.0001,50,1713,250,10,19,gpu1
71,0.50607481,39,0,200,0.4,0,0.0001,500,6165,100,30,24,gpu2
42,0.5496596,15,3,200,0.4,1,0.0001,50,2753,50,10,42,gpu1
88,0.56937324,13,0,200,0.4,2,0.0001,250,5664,50,30,41,gpu2
85,0.5842103,13,0,100,0.4,1,0.0001,250,4941,50,10,38,gpu2
92,0.58633976,13,1,200,0.4,1,0.0001,100,3003,50,60,45,gpu2
94,0.6185098,25,0,100,0.6,2,0.0001,50,3383,50,30,47,gpu2
26,0.6241091,25,2,100,0.4,0,0.0001,250,3774,100,60,26,gpu1
49,0.63154782,13,3,200,0.6,3,0.0001,50,4088,50,60,2,gpu2
36,0.66959511,39,3,200,0.6,0,0.0001,250,3890,50,10,36,gpu1
82,0.66983889,13,1,100,0.4,0,0.0001,250,3497,50,10,35,gpu2
32,0.67426062,39,3,100,0.4,0,0.0001,250,3884,50,10,32,gpu1
81,0.67693834,13,0,100,0.4,3,0.0001,250,6439,50,30,34,gpu2
79,0.69105865,13,2,100,0.4,0,0.0001,500,6387,500,30,32,gpu2
43,0.69193204,39,1,50,0.4,0,0.001,250,3661,1000,30,43,gpu1
56,0.69319148,13,0,100,0.6,3,0.0001,250,6435,50,30,9,gpu2
50,0.69579037,39,1,50,0.6,0,0.001,250,3425,1000,10,3,gpu2
89,0.71474852,25,0,100,0.6,1,0.0001,100,4235,100,10,42,gpu2
53,0.71988492,15,3,100,0.6,1,0.01,50,3310,100,30,6,gpu2
17,0.72277459,13,0,100,0.6,1,0.0001,500,15575,250,60,17,gpu1
33,0.74366814,13,3,50,0.4,3,0.0001,500,10619,50,60,33,gpu1
76,0.75984185,13,2,100,0.4,0,0.0001,500,6325,500,30,29,gpu2
102,0.76664296,39,2,50,0.2,0,0.0001,250,3644,250,10,6,gpu1a
100,0.77208252,19,2,200,0.4,2,0.0001,50,3413,50,30,4,gpu1a
46,0.79398199,25,3,100,0.4,1,0.01,50,2884,50,30,46,gpu1
38,0.80604251,15,3,50,0.2,3,0.0001,50,4304,50,60,38,gpu1
16,0.81003857,19,0,100,0.2,2,0.0001,1000,40180,250,60,16,gpu1
39,0.82757732,13,3,200,0.4,2,0.0001,1000,16830,50,60,39,gpu1
91,0.8703173,15,3,100,0.6,3,0.0001,1000,24713,100,30,44,gpu2
28,0.90212774,25,2,100,0.4,0,0.0001,500,6599,100,60,28,gpu1
35,0.96966397,25,3,50,0.4,3,0.001,50,4664,50,60,35,gpu1
3,0.97790521,19,0,100,0.6,0,0.001,250,3218,50,30,3,gpu1
